                                             Name   Unannotated   Explicit   Unimported   Omitted Generics   Error   Special Form   Implementation Artifact
                         backend.routes.customers             0        150            0                 57       0              0                         0
                           backend.routes.gateway             2        331            0                 97       0              0                         0
                     backend.routes.gateway_admin             0        851            0                213       0              0                         0
                               backend.routes.gsd             5        192            0                 65       0              0                         0
                        backend.routes.higgsfield             8        259            0                111       0              0                         0
                         backend.routes.knowledge             2        159            0                 36       0              0                         0
                      backend.routes.llm_registry             0         68            0                 17       0              0                         0
                         backend.routes.marketing             0        167            0                 28       0              0                         0
                        backend.routes.mcp_server             0        175            0                467       0              0                         0
                 backend.routes.memory_management             0         45            0                 16       0              0                         0
                                backend.routes.ml             0        512            0                108       0              0                         0
                           backend.routes.ml_eval             0        716            0                133       0              0                         0
                       backend.routes.ml_training             0        128            0                 39       0              0                         0
                         backend.routes.ml_webgen             0        175            0                 59       5              0                         0
                           backend.routes.network             0        557            0                340       4              0                         0
                              backend.routes.news             4        150            0                 29       0              0                         0
                           backend.routes.sandbox             0        403            0                 96       0              0                         0
                   backend.routes.schedule_routes             0        289            3                 83       0              0                         0
                   backend.routes.security_alerts             0         79            0                 95       0              0                         0
                            backend.routes.skills             0         80            0                 22       0              0                         0
                      backend.routes.social_media             0        763            0                444       0              0                         0
                            backend.routes.studio             1        194            7                245       0              0                         0
                   backend.routes.task_management             1         32            0                  6       0              0                         0
                    backend.routes.webgen_builder             0        263            0                 66       0              0                         0
                          backend.routes.webhooks             0        299            0                109       0              0                         0
                                backend.scheduler             0         51           95                  8       0              0                         0
                                 backend.security             0          0            0                  0       0              0                         0
                   backend.security.event_watcher             0         34            0                197       0              0                         0
                      backend.security_middleware             4          2            0                209       0              0                         0
                                   backend.server            33       1663           90                899       2              0                         0
                                   backend.skills             0         11            0                  0       0              0                         0
             backend.skills.job_application.agent             4         17            7                 30      17              0                         0
         backend.skills.job_application.handshake             0        396            0                 21       0              0                         0
                            backend.skills.loader             0        226            0                 73       0              0                         0
                          backend.skills.registry             0         32            0                129       0              0                         0
                  backend.skills.turbo_quant_rust             0          0            0                  0       0              0                         0
        backend.skills.turbo_quant_rust.quantizer             0         87           35                 52       0              0                         0
                                    backend.tasks             0        228            0                118       0              0                         0
                           backend.tests.conftest             0         13            0                  2       0              0                         0
                            backend.tests.gateway             0          0            0                  0       0              0                         0
                  backend.tests.gateway.test_auth             0          4            0                  0       0              0                         0
         backend.tests.gateway.test_ratelimit_acl             0          4            0                  0       0              0                         0
               backend.tests.gateway.test_secrets             0          4            0                  0       0              0                         0
                        backend.tests.mock_ollama             0        127            0                 66       0              0                         0
                   backend.tests.test_a2ui_schema            54        170            0                 14       0              0                         0
             backend.tests.test_agent_definitions             0          0            0                  0       0              0                         0
                 backend.tests.test_agent_factory             2          0            0                  0       0              0                         0
                backend.tests.test_agent_to_agent             0          1            0                  0       0              0                         0
            backend.tests.test_architecture_drift             0          0            0                  0       0              0                         0
               backend.tests.test_base_agent_deep             0          5            0                  0       0              0                         0
                 backend.tests.test_browser_tools            47        121            0                 18       0              0                         0
         backend.tests.test_chat_with_mock_ollama             0          8            0                  0       0              0                         0
                   backend.tests.test_config_cors             5          5            0                  0       0              0                         0
             backend.tests.test_config_validation             0          6            0                  0       0              0                         0
                backend.tests.test_content_agents             0         16            0                  0       0              0                         0
                backend.tests.test_customer_store            79         66            0                  0       0              0                         0
                   backend.tests.test_dep_checker             3         66            0                  0       0              0                         0
                   backend.tests.test_discord_bot             0          4            0                  9       0              0                         0
      backend.tests.test_docker_sandbox_exec_path             0        163            0                  0       0              0                         0
      backend.tests.test_docker_sandbox_lifecycle            35         11            0                  0       0              0                         0
                   backend.tests.test_drift_guard             4          0            0                  0       0              0                         0
            backend.tests.test_fast_route_binding             0          4            0                  0       0              0                         0
              backend.tests.test_gatekeeper_smoke             0          0            0                  0       0              0                         0
         backend.tests.test_gateway_adapters_real             0         20            0                  6       0              0                         0
                  backend.tests.test_gateway_core             0          0            0                  0       0              0                         0
            backend.tests.test_gateway_middleware             0          0            0                  0       0              0                         0
            backend.tests.test_gateway_usage_real             0         53            0                  0       0              0                         0
                     backend.tests.test_gsd_agent             3        174            0                 56       0              0                         0
                     backend.tests.test_gsd_store            16        257            0                 80       0              0                         0
                   backend.tests.test_health_deps             0          4            0                  0       0              0                         0
              backend.tests.test_health_endpoints             0          4            0                  0       0              0                         0
             backend.tests.test_integration_flows             0         12            0                  0       0              0                         0
               backend.tests.test_knowledge_store             5         17            0                  0       0              0                         0
              backend.tests.test_knowledge_vendor             0          0            0                  0       0              0                         0
                        backend.tests.test_launch             0          4            0                  2       0              0                         0
                    backend.tests.test_lex_router             0          0            0                  0       0              0                         0
                    backend.tests.test_llm_client             1         31            0                  4       0              0                         0
                    backend.tests.test_mcp_bridge             0          0            0                  2       0              0                         0
                  backend.tests.test_memory_store             0          4            0                  0       0              0                         0
              backend.tests.test_ml_ab_experiment             0         93            0                  0       0              0                         0
                  backend.tests.test_ml_benchmark             3         76            0                  2       0              0                         0
               backend.tests.test_ml_data_version             0        110            0                 36       0              0                         0
               backend.tests.test_ml_doc_enforcer             0        122            0                  3       0              0                         0
             backend.tests.test_ml_eval_framework            38         66            0                  0       0              0                         0
         backend.tests.test_ml_experiment_tracker             0        165            0                  0       0              0                         0
             backend.tests.test_ml_mlflow_tracker             0        126            0                  3       0              0                         0
                    backend.tests.test_ml_monitor             0        196            0                  0       0              0                         0
                   backend.tests.test_ml_pipeline             0        180            0                  2       0              0                         0
                    backend.tests.test_ml_scoring             0         77            0                  0       0              0                         0
                   backend.tests.test_ml_training             2          0            0                  0       1              0                         0
        backend.tests.test_ml_training_generators             0          0            0                  0       0              0                         0
                backend.tests.test_ml_turbo_quant             6        166            0                 96       0              0                         0
               backend.tests.test_ml_vector_store             0         89            0                  3       0              0                         0
                backend.tests.test_model_failover             4        134            0                  4       0              0                         0
                        backend.tests.test_models             0          0            0                  0       0              0                         0
                 backend.tests.test_observability             0          4            0                  4       0              0                         0
                     backend.tests.test_ocr_agent             3         49            0                  0       0              0                         0
          backend.tests.test_orchestrator_routing            17        425            0                122       0              0                         0
           backend.tests.test_page_generator_real             8         35            0                 14       0              0                         0
                  backend.tests.test_preprocessor             0          0            0                  0       0              0                         0
              backend.tests.test_profile_rotation             3          0            0                  0       0              0                         0
                     backend.tests.test_ratelimit             0          4            0                  0       0              0                         0
             backend.tests.test_regression_matrix             0          4            0                  3       0              0                         0
               backend.tests.test_repair_patterns             0         12            0                455       0              0                         0
          backend.tests.test_routes_deterministic             0          0            0                  0       0              0                         0
               backend.tests.test_routes_extended             2         94            0                  4       0              0                         0
          backend.tests.test_routes_skills_memory             0         16            0                  0       0              0                         0
           backend.tests.test_runtime_integration             0         48            0                  0       0              0                         0
             backend.tests.test_runtime_inventory             0         29            0                  2       0              0                         0
             backend.tests.test_sandbox_exec_tool            55         27            0                  0       0              0                         0
        backend.tests.test_sandbox_port_allocator            34         32            0                  0       0              0                         0
                     backend.tests.test_scheduler             5         41            0                  0       0              0                         0
              backend.tests.test_scheduler_routes             0         54            0                  3       0              0                         0
                backend.tests.test_security_agent             0          0            0                  0       0              0                         0
           backend.tests.test_security_middleware             0          0            0                  0       0              0                         0
                 backend.tests.test_server_routes             0          8            0                  0       0              0                         0
               backend.tests.test_silent_failures             0         40            0                  0       0              0                         0
               backend.tests.test_skills_api_real            18         61            0                  2       0              0                         0
                 backend.tests.test_skills_loader             2          8            0                  8       0              0                         0
               backend.tests.test_skills_registry             9         77            0                  0       0              0                         0
              backend.tests.test_sprint1_contract             3          9            0                  0       0              0                         0
            backend.tests.test_sprint2_durability             0        237            0                 65       0              0                         0
                   backend.tests.test_sprint3_a2a             0        591            0                120       0              0                         0
               backend.tests.test_sprint4_ml_eval            72        113            0                 43       0              0                         0
           backend.tests.test_sprint5_operability             0        174            0                  3       0              0                         0
          backend.tests.test_sprint6_architecture             1        123            0                  6       0              0                         0
           backend.tests.test_sprint7_convergence            24        114            0                 89       0              0                         0
               backend.tests.test_sprint_features             3          2            0                  0       0              0                         0
                      backend.tests.test_tool_ids             0          0            0                 97       0              0                         0
                backend.tests.test_tools_extended             1         25            0                  4       0              0                         0
                  backend.tests.test_tools_native             4          5            0                  0       0              0                         0
          backend.tests.test_turbo_quant_contract             6        292            0                125       0              0                         0
             backend.tests.test_unified_quantizer             0          0            0                  0       0              0                         0
                   backend.tests.test_webgen_deep             3         15            0                  4       0              0                         0
         backend.tests.test_webgen_pipeline_retry             0         97            0                 20       0              0                         0
    backend.tests.test_webgen_sandbox_enforcement            28         16            0                  4       0              0                         0
                      backend.tests.test_webhooks             5        144            0                  0       0              0                         0
              backend.tests.test_ws_control_plane           130        117            0                  7       3              0                         0
                  backend.tests.test_youtube_auth             1         14            0                  4       0              0                         0
                                    backend.tools             3        711            7                373       0              0                         0
                                    backend.utils             0         70            7                 24       0              0                         0
                        backend.utils.cost_logger             0         53           21                186       0              0                         0
                           backend.utils.tool_ids             0          2            0                198       0              0                         0
                     backend.utils.tool_validator             0          7            0                 64       0              0                         0
                                    backend.video             0          0            0                  0       0              0                         0
                     backend.video.caption_burner             0         49            0                286       0              0                         0
                        backend.video.transcriber             0          1           56                 26       0              0                         0
                                   backend.webgen             0          0            0                  0       0              0                         0
                            backend.webgen.agents             0          0            0                  0       0              0                         0
                  backend.webgen.agents.aeo_agent            21         12            0                125       0              0                         0
                 backend.webgen.agents.base_agent             9         58            0                 22       0              0                         0
             backend.webgen.agents.design_advisor             0         12            0                 62       0              0                         0
             backend.webgen.agents.page_generator             0         16            0                253       1              0                         0
                   backend.webgen.agents.qa_agent             7         30            0                 60       0              0                         0
                  backend.webgen.agents.seo_agent            26         17            0                126       0              0                         0
               backend.webgen.agents.site_planner            14          6            0                 83       0              0                         0
           backend.webgen.agents.template_learner             0          9            0                456       0              0                         0
                  backend.webgen.agents.ux_scorer             0         40            0                591       0              0                         0
                           backend.webgen.gallery             0         30            0                 96       0              0                         0
                            backend.webgen.models             0        524            0                258       0              0                         0
                          backend.webgen.pipeline             4        119            0                 55       0              0                         0
                        backend.webgen.site_store             0         40            0                  5       0              0                         0
                    backend.webgen.template_store             0        360            0                145       0              0                         0
                                backend.websocket             0          0            0                  0       0              0                         0
                            backend.websocket.hub             0         42            0                 61       0              0                         0
                         backend.websocket.models             0         79            0                 42       0              0                         0
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                                            Total          1484      34882          459              18850      81              0                         9
