                                             Name   Anys   Exprs   Coverage
                backend.tests.test_security_agent      0      58    100.00%
                 backend.tests.test_server_routes      0     179    100.00%
               backend.tests.test_silent_failures      2     283     99.29%
               backend.tests.test_skills_api_real     43     250     82.80%
                 backend.tests.test_skills_loader      1      45     97.78%
               backend.tests.test_skills_registry     27     306     91.18%
              backend.tests.test_sprint1_contract      3      58     94.83%
            backend.tests.test_sprint2_durability     65     999     93.49%
                   backend.tests.test_sprint3_a2a    209     800     73.88%
               backend.tests.test_sprint4_ml_eval     40     731     94.53%
           backend.tests.test_sprint5_operability     33     412     91.99%
          backend.tests.test_sprint6_architecture      4     341     98.83%
           backend.tests.test_sprint7_convergence     47     330     85.76%
               backend.tests.test_sprint_features      3      84     96.43%
                      backend.tests.test_tool_ids     11     808     98.64%
                backend.tests.test_tools_extended     10      44     77.27%
                  backend.tests.test_tools_native      4      19     78.95%
          backend.tests.test_turbo_quant_contract    155     407     61.92%
             backend.tests.test_unified_quantizer      0      20    100.00%
                   backend.tests.test_webgen_deep      7     191     96.34%
         backend.tests.test_webgen_pipeline_retry     29     371     92.18%
    backend.tests.test_webgen_sandbox_enforcement     31     205     84.88%
                      backend.tests.test_webhooks     53     318     83.33%
              backend.tests.test_ws_control_plane    140     321     56.39%
                  backend.tests.test_youtube_auth      5      28     82.14%
                                    backend.tools     82    2684     96.94%
                                    backend.utils      5     288     98.26%
                        backend.utils.cost_logger     85     505     83.17%
                           backend.utils.tool_ids     25     397     93.70%
                     backend.utils.tool_validator      0     271    100.00%
                     backend.video.caption_burner     63     577     89.08%
                        backend.video.transcriber     49     121     59.50%
                  backend.webgen.agents.aeo_agent     27     268     89.93%
                 backend.webgen.agents.base_agent     13     181     92.82%
             backend.webgen.agents.design_advisor      0     366    100.00%
             backend.webgen.agents.page_generator     19     547     96.53%
                   backend.webgen.agents.qa_agent     16     436     96.33%
                  backend.webgen.agents.seo_agent     34     396     91.41%
               backend.webgen.agents.site_planner     51     365     86.03%
           backend.webgen.agents.template_learner     28     556     94.96%
                  backend.webgen.agents.ux_scorer      0    1279    100.00%
                           backend.webgen.gallery      6     167     96.41%
                            backend.webgen.models      0     424    100.00%
                          backend.webgen.pipeline     22    1172     98.12%
                        backend.webgen.site_store      6     141     95.74%
                    backend.webgen.template_store     10     464     97.84%
                                backend.websocket      0       1    100.00%
                            backend.websocket.hub      5     345     98.55%
                         backend.websocket.models      0      90    100.00%
---------------------------------------------------------------------------
                                            Total   8270   99029     91.65%
